,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
86,c,h,h,3,4,c,c,7,h,[3]
87,c,h,2,3,h,c,6,c,h,"[2, 3, 6]"
88,0,1,c,h,4,h,6,h,c,[4]
89,0,c,c,3,h,5,6,7,h,[0]
90,h,h,c,c,h,h,c,7,8,"[7, 8]"
91,0,1,2,h,4,5,6,h,c,[2]
92,h,c,2,c,h,h,h,7,c,[2]
93,0,c,c,h,c,h,6,7,h,"[0, 6, 7]"
94,h,h,2,c,c,5,c,h,8,"[2, 5]"
95,h,1,c,h,4,c,c,h,h,[4]
96,c,c,2,h,h,c,h,h,c,[2]
97,h,c,h,3,c,5,6,7,8,[7]
98,0,1,2,3,4,h,c,7,8,"[0, 4, 8]"
99,h,1,h,c,c,h,h,7,c,[1]
100,h,h,2,3,h,5,c,7,c,[7]
101,0,c,2,h,h,5,c,7,8,[5]
102,0,h,2,h,4,5,c,7,8,[8]
103,c,c,h,3,4,h,h,7,8,"[3, 4, 7, 8]"
104,0,1,2,c,4,5,h,h,c,"[4, 5]"
105,0,c,2,3,c,5,6,h,h,[6]
106,c,h,2,c,h,h,h,c,c,[2]
107,h,1,h,3,4,5,c,h,c,[1]
108,0,1,2,3,h,c,c,7,h,[0]
109,h,h,c,h,4,5,6,7,c,[5]
110,h,h,2,c,c,h,6,7,c,[2]
111,c,h,h,c,c,5,6,h,h,"[5, 6]"
112,h,h,2,3,4,c,c,7,8,[2]
113,0,h,2,h,h,5,c,c,8,[8]
114,0,1,2,3,h,c,h,7,c,[2]
115,h,c,h,c,4,5,c,7,h,"[4, 5, 7]"
116,0,1,c,h,h,5,h,c,8,"[0, 1, 5, 8]"
117,c,c,h,3,h,5,6,h,8,[6]
118,0,1,2,3,c,5,h,h,c,[0]
119,h,1,c,h,4,h,c,h,c,[4]
120,c,1,c,h,h,c,h,c,h,[1]
121,0,1,2,c,h,5,h,c,h,"[0, 1, 2, 5]"
122,0,h,c,c,c,h,h,7,h,[7]
123,0,c,h,3,4,h,6,7,8,[8]
124,0,c,2,h,c,c,h,h,8,"[0, 2, 8]"
125,0,h,h,3,4,5,c,7,c,[7]
126,c,h,2,3,4,5,6,7,h,"[4, 6, 7]"
127,0,c,c,h,h,c,6,h,8,"[0, 8]"
128,0,h,2,3,4,5,h,c,8,"[0, 2]"
129,0,h,2,c,h,h,c,c,h,[0]
130,0,c,h,h,4,c,c,h,h,"[0, 4]"
131,0,h,h,3,h,5,c,7,c,[7]
132,c,h,c,h,h,5,h,c,c,[5]
133,h,1,h,c,h,5,6,7,c,"[1, 5, 6, 7]"
134,h,c,2,c,4,c,h,7,h,[4]
135,0,c,h,3,h,c,6,7,h,"[0, 3, 6, 7]"
136,c,1,h,c,4,5,h,7,8,[4]
137,h,1,h,3,4,c,6,7,8,[1]
138,h,1,c,3,4,5,6,7,8,"[5, 6, 8]"
139,c,1,h,c,4,h,6,7,8,[6]
140,c,1,2,h,h,5,6,c,h,[5]
141,0,c,2,h,h,c,6,h,c,[2]
142,h,1,2,c,c,5,6,7,h,[5]
143,c,1,c,3,h,5,h,c,h,[1]
144,0,1,h,3,h,5,6,c,c,[6]
145,c,h,h,3,h,h,6,c,c,[6]
146,h,1,2,c,4,c,6,h,h,[4]
147,0,h,c,c,4,h,h,c,h,"[0, 4]"
148,h,1,2,c,h,5,6,7,8,[8]
149,h,1,c,c,4,h,6,7,h,[4]
150,c,h,2,h,4,c,c,h,h,[4]
151,h,1,c,h,4,5,6,h,c,[5]
152,0,1,c,3,h,5,6,h,c,[5]
153,0,1,h,h,c,h,c,c,8,"[1, 8]"
154,c,h,c,h,h,5,6,7,8,"[5, 6, 7, 8]"
155,c,1,2,3,4,h,6,7,8,"[2, 4, 6]"
156,c,h,c,h,4,h,c,7,h,[4]
157,0,1,2,3,h,5,c,7,8,"[0, 1, 2, 3, 5, 7, 8]"
158,c,1,2,c,h,5,6,7,h,[6]
159,h,c,c,c,h,5,6,h,8,[8]
160,h,c,c,c,4,h,c,h,h,[4]
161,h,1,h,c,4,5,c,7,8,[1]
162,c,c,h,h,4,h,c,h,c,[4]
163,h,h,2,h,c,5,c,7,c,"[2, 7]"
164,0,c,c,c,h,h,c,h,h,[0]
165,0,1,h,h,4,c,6,7,8,"[0, 6]"
166,0,c,h,3,4,5,h,7,c,[4]
167,c,c,h,3,h,5,c,h,h,[3]
168,h,c,h,3,c,c,h,h,8,[3]
169,c,h,2,3,4,h,6,c,h,[2]
170,h,c,h,c,4,h,c,h,c,[4]
171,0,h,2,3,c,5,h,h,c,[0]
172,c,h,2,3,h,h,6,7,c,"[2, 3, 6, 7]"
173,c,1,2,3,c,h,h,7,8,[8]
174,0,1,c,3,c,h,h,h,8,[8]
175,0,1,c,c,h,5,h,h,c,[5]
176,c,h,c,3,c,h,h,c,h,[3]
177,c,h,h,3,h,h,c,c,8,"[3, 8]"
178,c,h,2,3,c,5,6,h,8,[8]
179,c,h,2,h,h,5,6,c,8,[5]
180,h,c,c,3,4,h,c,h,8,[4]
181,0,1,2,h,c,5,h,c,8,[1]
182,c,c,h,h,4,h,h,7,c,[4]
183,h,h,2,3,c,5,6,h,c,[2]
184,h,c,c,3,h,h,6,7,8,"[3, 6, 7, 8]"
185,0,c,c,h,h,c,h,7,h,[0]
186,c,h,h,c,h,h,6,c,8,[6]
187,0,1,h,c,4,h,c,7,8,[0]
188,0,1,2,c,4,h,c,h,8,[0]
189,0,h,2,c,h,5,6,7,c,[7]
190,0,c,h,c,c,5,h,h,8,[5]
191,0,c,2,3,4,h,6,c,h,[4]
192,c,1,2,3,4,5,6,7,h,"[2, 6]"
193,0,h,2,h,4,5,h,c,c,[0]
194,0,1,2,c,c,h,6,7,h,[2]
195,h,c,h,3,h,h,c,7,c,[7]
196,0,h,2,3,c,h,c,h,8,[2]
197,c,h,2,3,4,h,c,7,8,[3]
198,c,h,h,c,h,h,6,7,c,[6]
199,0,h,c,3,c,c,6,h,h,"[3, 6]"
200,0,1,2,3,4,h,c,7,h,[2]
201,c,c,2,3,h,h,h,7,8,[2]
202,0,1,c,h,h,c,6,h,8,[8]
203,0,1,2,3,4,h,h,7,c,"[3, 4]"
204,0,h,2,3,c,c,h,h,c,"[0, 2, 3]"
205,h,1,h,h,c,c,c,7,h,[1]
206,c,1,c,h,4,h,h,c,h,[1]
207,h,1,h,3,h,c,c,h,c,[1]
208,0,h,c,h,c,h,h,c,c,[0]
209,c,1,c,h,h,5,6,7,h,[1]
210,0,1,h,h,c,5,c,7,h,[5]
211,0,h,h,c,4,c,h,7,c,[4]
212,h,c,2,c,h,c,h,h,c,[2]
213,h,h,c,c,h,h,6,c,c,[6]
214,c,1,2,3,h,5,6,7,8,"[1, 2, 3, 5, 6, 7, 8]"
215,0,1,c,3,h,h,6,h,c,"[0, 1, 3, 6]"
216,0,1,c,c,4,h,6,h,8,"[0, 6]"
217,h,h,2,3,4,c,c,7,h,"[2, 3, 4, 7]"
218,c,h,2,3,h,c,h,7,c,[2]
219,0,c,c,3,h,h,c,h,8,[0]
220,c,1,h,3,c,h,c,h,8,"[3, 8]"
221,0,h,c,3,h,h,c,7,8,"[0, 3, 7, 8]"
222,c,c,2,3,4,5,h,h,8,[2]
223,0,1,2,c,4,c,h,7,h,[4]
224,0,h,h,h,c,5,c,h,c,[0]
225,h,1,h,3,4,c,6,h,c,[1]
226,h,c,h,c,4,h,6,h,c,"[4, 6]"
227,c,c,h,3,4,c,h,h,8,"[3, 4, 8]"
228,0,1,2,3,c,h,c,h,8,[2]
229,0,1,h,c,h,5,6,c,h,"[0, 1, 5, 6]"
230,0,1,c,h,4,5,6,7,8,"[0, 4, 8]"
231,h,1,2,3,4,5,h,7,c,[3]
232,0,c,2,3,h,h,h,c,c,"[0, 2, 3]"
233,c,h,c,3,4,h,c,h,8,"[3, 4]"
234,0,h,h,3,4,c,6,c,8,[0]
235,h,1,c,h,h,c,6,7,8,[8]
236,c,1,h,h,c,c,6,h,h,[6]
237,h,h,c,c,c,h,6,7,h,[6]
238,0,1,c,3,4,5,6,h,h,[6]
239,h,c,2,h,c,5,c,h,h,[2]
240,0,1,2,c,h,5,6,7,h,[0]
241,h,1,h,3,4,5,6,7,c,[1]
242,h,1,c,3,4,5,6,7,h,[4]
243,0,1,2,3,4,c,h,7,h,[7]
244,0,c,c,h,4,5,h,7,h,[0]
245,0,1,2,3,c,h,h,h,c,[0]
246,0,h,h,c,c,5,6,7,8,[5]
247,0,1,c,h,4,c,h,h,8,[8]
248,0,h,2,h,4,c,6,7,c,[2]
249,c,1,h,3,h,c,c,7,h,[3]
250,h,c,h,3,4,5,6,h,c,"[3, 4, 6]"
251,h,1,2,h,4,c,6,7,8,[6]
252,0,c,h,3,4,c,6,h,8,"[3, 4, 6, 8]"
253,0,1,c,c,4,h,h,h,c,[0]
254,0,1,h,c,h,h,6,c,8,"[0, 1, 6, 8]"
255,h,c,h,3,4,5,6,7,8,[4]
256,0,1,h,3,h,h,c,c,8,[8]
257,c,1,c,h,4,5,h,7,h,[1]
258,h,h,2,c,c,5,6,7,h,[5]
259,0,1,2,3,h,5,c,7,h,[0]
260,c,c,2,c,h,h,6,h,8,"[2, 6]"
261,0,h,2,c,4,5,h,7,c,"[4, 5]"
262,c,h,2,3,4,5,h,c,8,"[2, 3, 4, 5, 8]"
263,h,c,h,h,c,c,6,7,h,[7]
264,h,1,h,c,4,5,c,7,h,"[1, 4, 5, 7]"
265,0,h,c,h,4,5,c,c,h,[4]
266,0,c,h,c,h,h,c,h,8,[0]
267,0,1,2,3,4,c,6,h,h,[6]
268,c,h,c,3,4,h,6,c,h,[6]
269,0,c,2,3,4,h,c,h,h,[2]
270,0,1,2,h,4,5,6,c,h,[4]
271,c,1,2,3,h,5,c,7,h,[3]
272,0,1,c,h,h,5,6,7,c,[5]
273,h,1,2,3,h,5,c,7,c,[7]
274,h,h,c,h,4,c,6,c,h,"[4, 6]"
275,c,1,c,3,4,h,6,7,h,[1]
276,c,h,c,c,h,5,h,c,h,[5]
277,0,1,h,c,4,5,6,7,8,[0]
278,c,1,c,h,4,5,6,h,h,[1]
279,c,1,h,3,4,5,h,7,8,[4]
280,0,c,h,c,4,5,6,h,h,"[0, 4, 5, 6]"
281,c,1,2,h,h,c,6,7,8,[2]
282,h,1,c,c,4,h,h,c,8,"[1, 4, 8]"
283,c,h,c,c,4,h,h,c,h,[4]
284,h,1,c,c,h,5,6,7,8,[8]
285,0,1,2,3,h,c,6,h,8,[1]
286,0,1,2,c,4,5,h,c,h,[4]
287,c,h,2,3,c,c,h,h,8,"[3, 8]"
288,h,c,2,3,4,5,c,7,h,[4]
289,c,h,c,3,4,5,h,h,8,"[3, 4, 5, 8]"
290,0,1,2,c,4,5,6,h,8,"[4, 6]"
291,0,h,h,h,c,c,c,h,8,[0]
292,0,h,c,c,4,5,h,h,c,[5]
293,0,h,h,c,c,5,h,7,c,"[0, 5]"
294,c,c,2,h,c,h,h,7,8,"[2, 7, 8]"
295,c,c,h,3,h,h,c,h,c,[3]
296,0,1,2,h,4,c,h,7,c,[2]
297,0,1,2,h,h,5,c,h,c,"[0, 1, 2, 5]"
298,0,c,2,c,h,h,6,7,8,[0]
299,0,c,c,3,h,5,6,h,h,[0]
300,0,h,2,c,h,5,6,c,h,[0]
301,h,c,c,3,h,5,h,c,8,"[3, 5, 8]"
302,c,1,2,c,h,h,h,c,h,[2]
303,h,c,2,h,4,c,6,7,8,[6]
304,h,1,2,c,h,h,c,h,c,[1]
305,0,1,h,c,c,5,h,7,8,[5]
306,c,h,h,h,4,5,c,h,c,[4]
307,0,1,h,c,h,c,c,7,h,[0]
308,0,1,2,3,h,5,6,7,c,"[0, 1, 2, 3, 5, 6, 7]"
309,0,1,2,c,c,h,6,h,8,"[0, 6]"
310,0,1,2,h,h,5,h,c,c,"[0, 1, 2, 5]"
311,c,c,2,3,4,h,6,h,8,[2]
312,0,1,h,h,4,c,c,7,8,"[0, 1, 4, 7, 8]"
313,h,1,c,c,4,5,h,7,8,[5]
314,0,h,h,c,h,h,c,c,8,"[0, 8]"
315,c,c,h,3,c,5,h,h,8,[8]
316,0,h,2,h,c,5,c,h,8,[2]
317,c,h,2,3,h,h,c,7,c,"[3, 7]"
318,h,c,h,3,4,c,h,7,8,"[3, 4, 7, 8]"
319,c,h,h,h,c,5,c,c,h,[5]
320,c,h,c,h,4,h,c,h,c,[4]
321,h,h,c,3,4,h,6,7,c,[6]
322,h,1,c,3,4,c,h,7,8,[8]
323,c,h,c,h,c,5,h,h,8,[8]
324,h,c,2,c,c,h,6,h,h,"[2, 6]"
325,h,h,2,3,4,c,c,h,8,"[2, 3, 4, 8]"
326,0,c,2,3,c,h,6,7,h,[7]
327,0,h,2,3,c,5,c,7,h,[2]
328,h,h,2,c,4,c,6,7,8,[4]
329,0,1,h,c,4,c,h,7,h,[4]
330,c,1,2,c,4,5,h,h,8,[8]
331,c,1,h,h,h,c,6,7,8,[6]
332,0,h,2,3,h,5,h,c,c,[2]
333,c,1,2,3,h,h,6,c,8,[3]
334,0,c,2,h,4,c,h,7,8,[0]
335,h,h,2,c,h,c,6,7,8,"[2, 6, 7, 8]"
336,0,1,c,h,4,5,6,7,h,[0]
337,c,1,2,h,h,c,h,c,8,[2]
338,0,h,h,3,4,5,c,h,c,"[0, 3, 4, 5]"
339,0,1,c,3,4,h,6,h,8,[0]
340,c,1,h,3,h,h,c,h,c,[3]
341,0,1,h,3,c,h,6,7,8,[8]
342,0,h,2,3,4,5,6,h,c,[4]
343,c,h,2,h,4,c,h,c,h,"[2, 4]"
344,0,1,2,c,4,h,6,h,c,[0]
345,h,h,2,3,c,c,h,c,8,[3]
346,c,1,c,h,4,h,c,h,8,"[1, 4]"
347,c,h,2,c,c,h,h,7,8,[8]
348,c,1,h,3,h,5,6,7,8,[6]
349,0,1,h,c,4,h,h,c,8,"[0, 1, 4, 8]"
350,0,c,h,h,4,5,c,c,h,[4]
351,0,c,h,3,4,h,h,7,c,[4]
352,c,c,h,h,4,h,h,c,c,[4]
353,c,h,2,3,4,c,h,7,h,[7]
354,h,1,h,c,4,c,h,c,h,[4]
355,c,h,h,3,4,h,h,c,c,[4]
356,c,c,h,3,4,5,6,h,8,"[6, 8]"
357,0,c,c,3,h,h,6,7,8,[0]
358,0,1,h,3,4,c,c,h,8,[3]
359,0,1,2,c,h,h,6,c,h,"[0, 1, 2, 6]"
360,0,1,h,3,c,c,6,7,h,[3]
361,h,c,c,h,4,c,6,h,h,"[4, 6]"
362,0,c,2,h,4,c,6,h,8,[2]
363,c,1,h,3,4,5,6,c,h,[5]
364,h,1,2,3,c,h,h,c,c,[1]
365,c,h,2,h,4,5,6,c,8,[8]
366,0,c,c,h,4,h,h,c,h,"[0, 4]"
367,c,1,c,c,h,h,h,7,h,[1]
368,h,c,2,h,c,h,6,h,c,[6]
369,c,h,2,h,4,5,c,h,8,[4]
370,c,h,c,3,h,h,h,c,8,[3]
371,h,1,2,3,h,c,h,c,c,[2]
372,h,c,h,h,4,5,c,h,c,"[4, 5]"
373,0,1,c,c,h,5,6,h,8,[1]
374,c,1,h,c,h,5,6,7,8,[6]
375,c,1,2,3,4,h,6,h,8,"[2, 6]"
376,c,h,2,h,c,5,6,7,h,"[2, 5, 6, 7]"
377,h,1,h,c,4,5,6,c,8,[1]
378,0,1,2,3,4,5,6,7,h,[4]
379,0,1,c,3,h,5,c,h,8,[1]
380,0,c,2,h,h,5,c,c,h,"[0, 2, 5]"
381,0,c,2,3,h,5,h,7,c,[2]
382,c,h,2,3,c,5,6,7,h,"[3, 6]"
383,h,1,2,h,c,h,c,7,8,[2]
384,c,1,2,h,4,5,h,7,8,"[1, 2]"
385,0,h,2,h,4,5,6,c,c,[6]
386,0,h,c,c,4,5,6,7,h,"[4, 6]"
387,c,c,2,h,c,h,c,h,h,[2]
388,0,h,c,3,4,5,c,7,h,[4]
389,c,1,c,h,c,h,6,h,h,"[1, 6]"
390,h,h,c,c,c,h,h,c,8,[8]
391,h,c,h,c,h,h,c,c,8,[8]
392,0,c,h,h,c,c,h,h,c,[0]
393,h,1,c,3,h,h,6,c,8,"[1, 3, 6, 8]"
394,h,c,h,c,h,5,6,7,8,"[5, 6, 7, 8]"
395,0,1,h,3,4,c,h,7,8,[4]
396,0,c,h,3,4,5,h,h,c,[4]
397,c,h,2,h,h,5,c,7,8,"[2, 5, 7, 8]"
398,c,h,c,3,4,c,h,h,8,[8]
399,h,1,c,3,4,5,h,c,8,[3]
400,h,h,2,3,4,c,c,c,h,"[2, 3, 4]"
401,h,1,h,c,4,h,h,c,c,"[1, 4]"
402,h,c,2,3,4,c,6,7,h,[4]
403,0,1,2,h,4,5,c,7,8,"[4, 7, 8]"
404,0,1,2,c,4,h,h,c,8,"[1, 2, 4, 8]"
405,c,1,2,3,h,5,h,c,8,[2]
406,c,1,2,h,h,c,6,7,h,"[1, 2, 6, 7]"
407,0,h,2,3,c,h,6,7,c,[0]
408,c,h,h,c,4,h,h,7,c,[4]
409,h,1,c,3,4,h,6,7,8,"[3, 4]"
410,h,c,c,h,4,h,c,c,h,[4]
411,0,1,2,h,4,c,h,c,h,[0]
412,h,c,h,3,4,c,c,h,h,[4]
413,c,c,2,h,4,c,6,h,h,[2]
414,h,c,h,3,4,5,c,7,8,[7]
415,0,1,c,3,c,5,6,h,h,[6]
416,c,h,h,c,c,5,h,7,8,"[5, 8]"
417,0,h,c,h,4,5,6,7,c,[5]
418,c,1,c,h,4,c,6,h,h,[1]
419,0,1,c,3,h,h,6,c,h,"[0, 1, 3, 6]"
420,0,1,2,3,h,5,6,c,h,[0]
421,0,1,2,c,h,5,6,h,c,[1]
422,h,1,2,3,c,5,h,c,8,[1]
423,0,c,2,3,4,5,6,7,h,[2]
424,c,1,2,h,4,h,6,c,8,[4]
425,0,h,2,3,4,h,c,7,8,"[0, 8]"
426,c,1,h,c,4,5,h,c,h,"[1, 4, 5]"
427,c,h,2,h,h,5,h,c,c,"[2, 5]"
428,0,c,c,h,4,5,h,h,c,"[0, 5]"
429,c,1,2,3,4,5,6,h,h,[6]
430,c,1,2,3,4,c,h,h,8,[8]
431,0,h,c,3,4,c,6,7,h,[4]
432,0,1,2,c,c,h,6,h,h,"[0, 1, 2, 6]"
433,0,h,2,3,4,c,c,7,h,"[3, 4]"
434,0,h,2,h,c,c,h,7,8,[0]
435,0,h,h,c,4,h,h,c,c,"[0, 4]"
436,h,1,c,c,4,5,h,7,h,"[1, 4, 5, 7]"
437,0,c,h,h,4,h,6,c,c,"[4, 6]"
438,h,1,2,c,4,c,h,h,8,[4]
439,0,c,2,h,4,c,c,h,h,[2]
440,h,c,2,3,h,5,6,7,c,"[2, 3, 5, 6]"
441,c,1,h,3,4,c,6,h,8,"[3, 4]"
442,h,c,2,3,4,h,c,h,c,"[2, 3, 4]"
443,0,1,c,3,c,h,h,c,h,[1]
444,c,c,2,3,h,5,6,7,h,[2]
445,c,h,h,h,4,c,c,7,h,"[4, 7]"
446,c,1,c,h,4,5,h,h,c,"[1, 4, 5]"
447,0,c,2,3,h,5,6,h,8,"[0, 2, 6, 8]"
448,h,h,2,3,4,5,6,c,c,[6]
449,0,c,h,h,c,h,c,h,c,[0]
450,h,1,2,c,h,c,6,h,c,[2]
451,c,1,2,3,h,5,6,h,8,[1]
452,h,1,2,c,h,c,6,7,8,[8]
453,c,h,c,c,c,h,h,7,h,[7]
454,c,h,h,3,c,h,6,7,8,[8]
455,0,1,c,h,4,h,6,7,8,[4]
456,c,c,2,h,4,5,h,7,h,[2]
457,0,h,h,c,h,c,6,c,8,"[0, 6, 8]"
458,c,h,c,c,h,h,h,7,8,[7]
459,0,1,2,3,c,h,h,c,h,[1]
460,0,1,2,h,4,5,6,7,8,"[0, 4, 5, 6]"
461,0,h,2,c,4,h,c,h,c,[0]
462,h,1,h,h,c,c,6,7,c,"[1, 6, 7]"
463,h,c,h,h,h,c,c,7,c,[7]
464,h,1,h,3,c,5,h,c,8,[1]
465,c,1,h,3,c,c,h,h,8,"[3, 8]"
466,0,h,h,h,4,c,c,c,h,[0]
467,h,1,h,3,c,5,6,7,c,[1]
468,c,c,2,h,h,c,h,7,8,[2]
469,0,h,c,3,4,h,6,7,c,"[4, 6]"
470,h,c,h,3,c,5,c,h,8,"[3, 5, 8]"
471,0,h,h,c,h,c,6,7,c,"[0, 6, 7]"
472,h,h,2,c,4,5,6,c,8,[2]
473,0,1,2,c,4,5,h,7,8,"[2, 4, 7, 8]"
474,h,h,c,h,c,h,6,c,8,[6]
475,c,h,c,c,h,c,h,7,h,[7]
476,0,h,c,c,4,h,6,7,h,[6]
477,c,c,h,c,h,5,6,h,h,[6]
478,h,1,h,3,4,5,c,7,8,[1]
479,0,c,c,3,h,5,h,7,h,[0]
480,c,h,h,c,4,5,6,h,c,"[4, 6]"
481,c,1,h,h,4,5,c,7,h,[5]
482,0,1,c,c,h,h,h,c,8,"[0, 1, 8]"
483,0,c,c,3,h,h,6,7,h,[0]
484,c,1,c,3,4,h,h,h,8,[1]
485,0,h,2,3,4,c,6,7,h,[4]
486,0,1,c,h,h,5,c,7,h,"[0, 1, 5, 7]"
487,h,h,2,3,c,5,c,c,h,[2]
488,c,h,2,c,4,h,h,h,c,[4]
489,0,1,c,h,c,5,h,h,8,"[0, 1, 5, 8]"
490,0,h,h,c,c,5,6,h,8,[5]
491,0,1,2,3,c,5,h,7,8,"[0, 1, 2, 3, 5, 7, 8]"
492,0,1,c,h,c,h,6,c,h,"[1, 6]"
493,0,h,c,c,h,5,c,7,h,[0]
494,c,1,h,h,h,c,c,7,8,"[1, 7, 8]"
495,0,h,2,h,4,c,6,h,c,[2]
496,0,c,h,3,c,5,6,h,8,"[3, 5, 6, 8]"
497,h,c,h,3,h,c,6,7,c,[6]
498,c,h,2,3,c,h,6,7,8,[8]
499,h,1,2,3,4,c,6,7,8,[2]
500,0,1,c,c,h,5,6,h,h,"[0, 1, 5, 6]"
501,h,1,c,c,4,h,h,7,c,"[1, 4, 7]"
502,h,1,h,c,4,5,6,c,h,"[1, 4, 5, 6]"
503,0,h,2,3,4,5,c,c,h,"[0, 2]"
504,0,1,c,3,4,h,c,h,8,[4]
505,0,h,2,c,4,5,h,h,c,[4]
506,0,1,2,3,c,5,c,h,h,[2]
507,c,h,c,h,4,c,h,c,h,[4]
508,c,c,h,h,4,5,h,c,8,[4]
509,0,h,c,3,4,5,c,h,8,[4]
510,h,c,c,3,4,h,h,c,h,[4]
511,h,h,c,3,4,5,c,h,c,"[4, 5]"
512,0,1,2,h,c,h,c,h,c,"[0, 2]"
513,h,h,2,c,4,5,h,c,c,[2]
514,h,c,c,c,c,h,h,h,8,[8]
515,0,1,h,3,4,5,h,7,c,[4]
516,c,1,2,c,h,c,6,h,h,[6]
517,0,1,c,h,h,5,6,h,c,[5]
518,h,h,c,h,4,5,c,c,8,"[4, 8]"
519,0,h,2,h,c,c,6,c,h,"[0, 2, 6]"
520,0,c,c,h,4,h,6,h,c,[0]
521,c,1,2,3,h,5,h,c,h,[2]
522,c,h,2,3,c,5,h,7,h,[7]
523,0,1,2,3,4,h,6,7,c,"[4, 6, 7]"
